site,scenario,period,phase,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,development_evaluation,normal,geometric_persistence,1,2138,0.042051815606066016,0.06432995652550791,0.3376987839101964,0.6393826005612722,0.7885874649204865,0.29881978658439357,0
nist,clean,development_evaluation,normal,geometric_persistence,2,2137,0.0633622088374159,0.10232287562266724,0.33270940570893776,0.6293869911090314,0.7786616752456715,0.4256340047500164,0
nist,clean,development_evaluation,normal,geometric_persistence,3,2137,0.0807446178231855,0.135436231425133,0.3242863827795976,0.6364061768834816,0.7716424894712214,0.510818513532887,0
nist,clean,development_evaluation,normal,geometric_persistence,4,2137,0.09491675319144782,0.16846401824459578,0.31118390266729057,0.6233036967711746,0.7693027608797379,0.5622492392625368,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,1,2138,0.0376880659611881,0.05625021671738819,0.48737137511693174,0.6856875584658559,0.7577174929840973,0.14795181862374168,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,2,2137,0.05242141126910568,0.07847229430425216,0.4234908750584932,0.628451099672438,0.7211043518951802,0.18759874840127375,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,3,2137,0.060430789316117346,0.0906339444720521,0.4033692091717361,0.6130088909686476,0.7051941974730931,0.20842194632213962,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,4,2137,0.06749616475203064,0.10128235172512653,0.3916705662143191,0.5985025737014507,0.6874122601778194,0.22837569332133661,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,1,2138,0.04150545336862278,0.056306172925255665,0.3587464920486436,0.539756782039289,0.6117867165575304,0.0949832427777734,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,2,2137,0.05982367402080713,0.07959040911853234,0.3158633598502574,0.47590079550772113,0.5460926532522228,0.11739178534872294,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,3,2137,0.06959534509721506,0.09116864419079505,0.2980814225549836,0.457182966775854,0.528310715956949,0.12483584249972876,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,4,2137,0.08037058139431884,0.10396184949591525,0.2690687880205896,0.4071127749181095,0.48713149274684137,0.12967622366053655,0
nist,clean,development_evaluation,normal,persistence,1,2138,0.06388207333124644,0.10955390544718338,0.3199251637043966,0.6585594013096352,0.8362956033676333,0.40058785483684606,0
nist,clean,development_evaluation,normal,persistence,2,2137,0.1013121385549431,0.18166729992900432,0.31352363125877397,0.6555919513336453,0.8249883013570426,0.5606415584661038,0
nist,clean,development_evaluation,normal,persistence,3,2137,0.12525855039114056,0.23225313610351897,0.32007487131492746,0.6518483855872719,0.8109499298081423,0.6379962134844883,0
nist,clean,development_evaluation,normal,persistence,4,2137,0.13778958848015385,0.2627572740032788,0.3182030884417408,0.6518483855872719,0.8086102012166588,0.6807026678610489,0
nist,clean,development_evaluation,normal,quantile_compact,1,2138,0.08872564308015886,0.2866796655326085,0.7053320860617399,0.853601496725912,0.9158091674462114,0.42777923948693614,0
nist,clean,development_evaluation,normal,quantile_compact,2,2137,0.09177757845508157,0.2885947164927417,0.6771174543752925,0.85774450163781,0.9270004679457183,0.45719002213625926,0
nist,clean,development_evaluation,normal,quantile_compact,3,2137,0.09521930040023467,0.2885055417424162,0.6963032288254563,0.8497894244267665,0.9255966307908282,0.46764569818931434,0
nist,clean,development_evaluation,normal,quantile_compact,4,2137,0.1009213020864235,0.32058750210391185,0.7000467945718297,0.8540009358914366,0.9335517080018718,0.47039301864953037,0
nist,clean,development_evaluation,normal,quantile_flexible,1,2138,0.08037997203602842,0.23264345629995875,0.6389148737137512,0.7988774555659495,0.8877455565949486,0.4148725757365778,0
nist,clean,development_evaluation,normal,quantile_flexible,2,2137,0.08855387661542913,0.26584918355520476,0.6233036967711746,0.802526906878802,0.9050070191857744,0.4480206600121823,0
nist,clean,development_evaluation,normal,quantile_flexible,3,2137,0.09202747569940699,0.2632118829583769,0.6457650912494151,0.8081422554983622,0.9059429106223678,0.45899239092115734,0
nist,clean,development_evaluation,normal,quantile_flexible,4,2137,0.10214950459887336,0.32058750210391185,0.6396817969115582,0.7964436125409452,0.9017313991576977,0.4597877125964058,0
nist,clean,development_evaluation,normal,single_imputation_compact,1,2138,0.03775397588055125,0.05592975195416652,0.4822263797942002,0.6796071094480823,0.7525724976613658,0.14412159606529443,0
nist,clean,development_evaluation,normal,single_imputation_compact,2,2137,0.05230911222836458,0.07796109338985877,0.4258306036499766,0.6256434253626579,0.7178287318671034,0.18396480600615805,0
nist,clean,development_evaluation,normal,single_imputation_compact,3,2137,0.06044005688482317,0.09042131973268576,0.400561534861956,0.611137108095461,0.7009826860084231,0.20599100782697716,0
nist,clean,development_evaluation,normal,single_imputation_compact,4,2137,0.06755751883467326,0.10113725509782374,0.3902667290594291,0.5956948993916705,0.6855404773046326,0.22655014437620272,0
nist,clean,development_evaluation,normal,single_imputation_flexible,1,2138,0.041583688412349766,0.05586125387662011,0.3559401309635173,0.5332086061739943,0.6066417212347989,0.09048410592628602,0
nist,clean,development_evaluation,normal,single_imputation_flexible,2,2137,0.060019503491957775,0.07918346802984114,0.3116518483855873,0.4693495554515676,0.5348619560131025,0.11264897452015815,0
nist,clean,development_evaluation,normal,single_imputation_flexible,3,2137,0.06979202713649597,0.09086285408803489,0.2943378568086102,0.45156761815629387,0.5212915301824989,0.12110874480182644,0
nist,clean,development_evaluation,normal,single_imputation_flexible,4,2137,0.08062254686179028,0.10371343592839838,0.2676649508656996,0.40383715489003275,0.48104819840898455,0.12670253590083735,0
nist,clean,validation,normal,geometric_persistence,1,1899,0.04074309299668496,0.06201092103593759,0.3807266982622433,0.6898367561874671,0.8214849921011058,0.32495139783965193,0
nist,clean,validation,normal,geometric_persistence,2,1899,0.06139763698222638,0.09934222961804597,0.38809899947340704,0.6619273301737757,0.8030542390731964,0.4474809377409306,0
nist,clean,validation,normal,geometric_persistence,3,1899,0.07827515228284358,0.13044302463396146,0.3907319641916798,0.6777251184834123,0.7962085308056872,0.5344668525609035,0
nist,clean,validation,normal,geometric_persistence,4,1899,0.09168573396351073,0.1569951610194919,0.4075829383886256,0.6819378620326487,0.785676671932596,0.5936785954473192,0
nist,clean,validation,normal,multiple_imputation_compact,1,1899,0.03943386431352137,0.05891561852086877,0.45602948920484465,0.6619273301737757,0.7482885729331227,0.14726847068833043,0
nist,clean,validation,normal,multiple_imputation_compact,2,1899,0.05645274454895769,0.08395139628821782,0.4038967877830437,0.593996840442338,0.6714060031595577,0.18558570908268465,0
nist,clean,validation,normal,multiple_imputation_compact,3,1899,0.07032500799991692,0.10333163737422231,0.3596629805160611,0.5371248025276462,0.6197998946814113,0.20783764133690505,0
nist,clean,validation,normal,multiple_imputation_compact,4,1899,0.08175343841355334,0.11934033136110427,0.3328067403896788,0.5155344918378094,0.607161664033702,0.22741771429172625,0
nist,clean,validation,normal,multiple_imputation_flexible,1,1899,0.043463647007970625,0.05852369060975356,0.34913112164297,0.5192206424433913,0.5876777251184834,0.09490501462822996,0
nist,clean,validation,normal,multiple_imputation_flexible,2,1899,0.06339395230795017,0.08325781878950571,0.3101632438125329,0.46445497630331756,0.5286993154291733,0.1163190991822863,0
