site,case_id,case_group,period,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,primary,evaluation,aci_bounded,1,3978,0.031791075595644126,0.05283412882899899,0.49949723479135244,0.7986425339366516,0.8989441930618401,0.2544529155027163,0
nist,clean,primary,evaluation,aci_bounded,2,3978,0.043469677789486016,0.07438842186513044,0.4984917043740573,0.7988939165409754,0.9004524886877828,0.3498913886152651,0
nist,clean,primary,evaluation,aci_bounded,3,3978,0.051189331501765384,0.09098876002305792,0.49321266968325794,0.797134238310709,0.8974358974358975,0.3990730852103229,0
nist,clean,primary,evaluation,aci_bounded,4,3978,0.05718150142057849,0.10534304852386311,0.49572649572649574,0.7961287078934137,0.8971845148315737,0.4224303840547464,0
nist,clean,primary,evaluation,carry_forward,1,3978,0.033931781031371754,0.05537538634892138,0.41151332327802914,0.7043740573152338,0.8443941679235797,0.28060430998219876,0
nist,clean,primary,evaluation,carry_forward,2,3978,0.04556704226086002,0.07812755910838093,0.40824534942182,0.6882855706385118,0.8310708898944194,0.3363784858449185,0
nist,clean,primary,evaluation,carry_forward,3,3978,0.05337366763402785,0.09548078801282375,0.3888888888888889,0.6804927099044746,0.8144796380090498,0.37075758025240524,0
nist,clean,primary,evaluation,carry_forward,4,3978,0.05942598474048277,0.1109451240598656,0.3821015585721468,0.6757164404223228,0.8109602815485168,0.38471599970637327,0
nist,clean,primary,evaluation,geometric_persistence,1,3978,0.03913361086572387,0.06258258635575305,0.5228758169934641,0.8318250377073907,0.9374057315233786,0.34440451759035423,0
nist,clean,primary,evaluation,geometric_persistence,2,3978,0.05913608072784346,0.1000560651333879,0.5143288084464555,0.834841628959276,0.9291101055806938,0.46733708434399845,0
nist,clean,primary,evaluation,geometric_persistence,3,3978,0.07656740632201528,0.1340169237614385,0.5123177476118652,0.8112116641528406,0.9203117144293614,0.5596556379424303,0
nist,clean,primary,evaluation,geometric_persistence,4,3978,0.08964079606597068,0.1628629046197637,0.5098039215686274,0.8159879336349924,0.9140271493212669,0.6265848543235701,0
nist,clean,primary,evaluation,mask50,1,3978,0.03175707487558371,0.05283412882899899,0.5017596782302665,0.8024132730015083,0.9029663147310206,0.25563069222927914,0
nist,clean,primary,evaluation,mask50,2,3978,0.04338723249714628,0.07438842186513044,0.5025138260432378,0.8051784816490699,0.9044746103569633,0.34916549923630963,0
nist,clean,primary,evaluation,mask50,3,3978,0.051082981589344836,0.09098876002305792,0.5010055304172951,0.8024132730015083,0.9022121669180493,0.39543849588647,0
nist,clean,primary,evaluation,mask50,4,3978,0.057064125678784744,0.10534304852386311,0.5032679738562091,0.7968828557063852,0.8984414278531926,0.4192519450340812,0
nist,clean,primary,evaluation,mi_recency,1,3978,0.03502094668988193,0.055257127202459747,0.5042735042735043,0.8107088989441931,0.9047259929612871,0.24876757664894092,0
nist,clean,primary,evaluation,mi_recency,2,3978,0.04800829697955143,0.078177958603005,0.5087983911513323,0.8059326294620413,0.9017094017094017,0.3302099243107587,0
nist,clean,primary,evaluation,mi_recency,3,3978,0.05679248859287112,0.09464820041970531,0.5035193564605329,0.8026646556058321,0.9004524886877828,0.3966115967889767,0
nist,clean,primary,evaluation,mi_recency,4,3978,0.06426583803571277,0.10769444305592925,0.4987430869783811,0.8026646556058321,0.8999497234791353,0.44287415647106565,0
nist,clean,primary,evaluation,multiple_imputation,1,3978,0.03529609599999152,0.055257127202459747,0.6053293112116641,0.8172448466566113,0.8740573152337858,0.2155415134470158,0
nist,clean,primary,evaluation,multiple_imputation,2,3978,0.048751240522001915,0.078177958603005,0.5324283559577677,0.7621920563097033,0.838360985419809,0.26904593589144543,0
nist,clean,primary,evaluation,multiple_imputation,3,3978,0.058718479313914794,0.09464820041970531,0.49095022624434387,0.7252388134741076,0.8124685771744595,0.29987146140809584,0
nist,clean,primary,evaluation,multiple_imputation,4,3978,0.06741263300563737,0.10769444305592925,0.4751131221719457,0.7031171442936148,0.7905982905982906,0.322248394532297,0
nist,clean,primary,evaluation,persistence,1,3978,0.05670222414961268,0.10629417014612261,0.5123177476118652,0.8350930115635998,0.942684766214178,0.43128346474350465,0
nist,clean,primary,evaluation,persistence,2,3978,0.08885213051090814,0.17686439556831135,0.5050276520864756,0.8197586726998491,0.9308697838109603,0.5915290338550243,0
nist,clean,primary,evaluation,persistence,3,3978,0.10983985348776902,0.2251937361172324,0.5035193564605329,0.8081950729009553,0.9170437405731523,0.6855591939945033,0
nist,clean,primary,evaluation,persistence,4,3978,0.1221727014504317,0.2533604425373912,0.5057817998994469,0.8079436902966315,0.9077425842131724,0.7382610700683583,0
nist,clean,primary,evaluation,physical,1,3978,0.031702598047656814,0.05283412882899899,0.5042735042735043,0.8104575163398693,0.9074912016088487,0.2586254811375218,0
nist,clean,primary,evaluation,physical,2,3978,0.04331285172259705,0.07438842186513044,0.5100553041729512,0.809703368526898,0.9095022624434389,0.35137406664301285,0
nist,clean,primary,evaluation,physical,3,3978,0.050983713366760136,0.09098876002305792,0.497737556561086,0.8056812468577175,0.9029663147310206,0.39983149624691594,0
nist,clean,primary,evaluation,physical,4,3978,0.05696196310499869,0.10534304852386311,0.5065359477124183,0.8064353946706888,0.9042232277526395,0.42265556808510024,0
nist,clean,primary,evaluation,physical_availability,1,3978,0.03169621294092001,0.05283412882899899,0.5055304172951232,0.8129713423831071,0.9072398190045249,0.2585370589136277,0
nist,clean,primary,evaluation,physical_availability,2,3978,0.04331837865499714,0.07438842186513044,0.5060331825037707,0.8112116641528406,0.9120160884866767,0.3515242362445102,0
