site,scenario,period,phase,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,development_evaluation,normal,aci_bounded,1,2138,0.03379231569730126,0.0539622780479579,0.500467726847521,0.7988774555659495,0.8961646398503275,0.2891046428184604,0
nist,clean,development_evaluation,normal,aci_bounded,2,2137,0.044060053289866875,0.07507001454839142,0.4983621899859616,0.7922321010762752,0.9012634534394011,0.35885701695023436,0
nist,clean,development_evaluation,normal,aci_bounded,3,2137,0.05094477908418797,0.08785891739246868,0.49602246139447825,0.8001871782873187,0.9012634534394011,0.43790983837393227,0
nist,clean,development_evaluation,normal,aci_bounded,4,2137,0.055192989082962496,0.09945454367384762,0.4946186242395882,0.7955077211043519,0.9017313991576977,0.41014731854827585,0
nist,clean,development_evaluation,normal,mask50,1,2138,0.033805394548878494,0.0539622780479579,0.4990645463049579,0.803086997193639,0.901309635173059,0.2906619365231442,0
nist,clean,development_evaluation,normal,mask50,2,2137,0.044044066373487574,0.07507001454839142,0.499298081422555,0.7987833411324287,0.9050070191857744,0.3600355176898034,0
nist,clean,development_evaluation,normal,mask50,3,2137,0.050908623139485736,0.08785891739246868,0.5063172671970051,0.8062704726251755,0.9115582592419279,0.4409064654789659,0
nist,clean,development_evaluation,normal,mask50,4,2137,0.05517211394434395,0.09945454367384762,0.5025737014506317,0.8001871782873187,0.9078146934955545,0.4103393038104954,0
nist,clean,development_evaluation,normal,physical,1,2138,0.03361504951149958,0.0539622780479579,0.5018709073900842,0.8096351730589336,0.9092609915809168,0.2928718202427711,0
nist,clean,development_evaluation,normal,physical,2,2137,0.04384702036106976,0.07507001454839142,0.5044454843238184,0.8086102012166588,0.9162377164248947,0.3631178789327728,0
nist,clean,development_evaluation,normal,physical,3,2137,0.0507008262567998,0.08785891739246868,0.5105287786616752,0.8203088441740758,0.9204492278895648,0.4426477287832972,0
nist,clean,development_evaluation,normal,physical,4,2137,0.054988776412788,0.09945454367384762,0.5067852129153019,0.8132896583996256,0.9124941506785212,0.4137040606606224,0
nist,clean,development_evaluation,normal,physical_recovery,1,2138,0.03361035063502564,0.0539622780479579,0.4990645463049579,0.8091674462114126,0.9092609915809168,0.2932846285035851,0
nist,clean,development_evaluation,normal,physical_recovery,2,2137,0.04385238218621959,0.07507001454839142,0.5039775386055217,0.8072063640617688,0.9134300421151147,0.36259855574785627,0
nist,clean,development_evaluation,normal,physical_recovery,3,2137,0.050719065315344994,0.08785891739246868,0.5100608329433786,0.8184370613008891,0.9199812821712682,0.44253116458940334,0
nist,clean,development_evaluation,normal,physical_recovery,4,2137,0.05500669078513682,0.09945454367384762,0.5058493214787084,0.810014038371549,0.912962096396818,0.4136586766061503,0
nist,clean,development_evaluation,normal,raw,1,2138,0.034054878651429706,0.0539622780479579,0.3713751169317119,0.7174929840972872,0.8479887745556595,0.2745204307429185,0
nist,clean,development_evaluation,normal,raw,2,2137,0.04464186383906248,0.07507001454839142,0.386055217594759,0.6635470285446888,0.8441740758072064,0.3385128840120883,0
nist,clean,development_evaluation,normal,raw,3,2137,0.05145654880960242,0.08785891739246868,0.3916705662143191,0.6902199344875994,0.8909686476368741,0.4325295485249832,0
nist,clean,development_evaluation,normal,raw,4,2137,0.05582608569583774,0.09945454367384762,0.37201684604585866,0.6747777257838091,0.8427702386523164,0.39031307295987894,0
nist,clean,development_evaluation,normal,recency,1,2138,0.03379182457318696,0.0539622780479579,0.5014031805425632,0.80355472404116,0.9008419083255379,0.2905173395466401,0
nist,clean,development_evaluation,normal,recency,2,2137,0.044025832515768054,0.07507001454839142,0.5039775386055217,0.7978474496958353,0.9064108563406644,0.36119096987985794,0
nist,clean,development_evaluation,normal,recency,3,2137,0.05089786060861618,0.08785891739246868,0.5039775386055217,0.8067384183434722,0.912962096396818,0.4415316012527615,0
